mag,depth,rad,prov,lat,lon,prov_enco
3.1,10,50,SUMBAR,-0.28,99.58,20
2.8,77,28,SUMBAR,-1.36,100.83,20
3.8,146,29,MALUT,2.3,128.22,5
4.7,57,1280,KALTARA,14.32,121.19,27
3.5,10,5,NTB,-8.44,116.97,8
4.0,10,135,MALUKU,-4.57,133.97,6
3.6,27,28,SULUT,3.82,126.86,15
2.3,10,5,SULTENG,-1.09,121.49,11
1.7,10,26,NTT,-9.66,124.71,7
2.4,10,3,SULTENG,-1.1,121.51,11
3.7,12,4,SULTENG,-1.06,121.55,11
3.7,12,4,SULTENG,-1.06,121.55,11
3.5,11,70,SUMBAR,-1.45,99.28,20
3.0,10,5,SULTENG,-1.06,121.5,11
3.8,10,7,SULTENG,-1.09,121.47,11
4.7,10,7,SULTENG,-1.11,121.47,11
2.6,11,9,SULTENG,-1.07,121.46,11
3.3,10,4,SULTENG,-1.08,121.5,11
5.4,10,5,SULTENG,-1.11,121.49,11
3.7,10,5,SULTENG,-1.08,121.49,11
4.6,10,4,SULTENG,-1.08,121.5,11
2.8,34,33,SULTENG,-1.1,119.79,11
3.0,10,42,SULTENG,1.35,121.33,11
4.3,483,271,SULUT,3.78,123.05,15
4.7,10,242,SULUT,6.03,125.89,15
2.3,15,75,NTB,-7.8,118.53,8
2.3,63,19,BENGKULUSELATAN,-4.49,103.09,18
2.7,172,23,NTT,-8.28,119.9,7
3.8,13,150,SUMBAR,-0.89,98.8,20
2.7,10,15,SULTENG,1.08,121.27,11
3.8,18,46,SULUT,3.74,127.0,15
4.2,10,52,NTT,-8.22,121.18,7
3.0,46,76,MALUT,1.44,126.89,5
2.8,11,105,PAPUA,-2.38,140.58,10
3.2,110,8,NTB,-8.56,118.39,8
2.9,80,72,NTT,-8.89,124.26,7
3.5,30,72,BANTEN,-6.89,104.97,21
3.4,10,62,MALUKU,-2.86,129.98,6
3.9,10,82,PAPUA,-2.75,141.21,10
3.6,12,8,BALI,-8.27,115.53,22
4.3,108,13,NTB,-8.62,118.38,8
3.0,131,74,GORONTALO,-0.11,123.3,12
3.2,136,68,GORONTALO,-0.08,123.13,12
4.4,74,73,SULUT,1.66,125.75,15
2.8,108,9,NTB,-8.54,118.38,8
3.3,10,23,MALUKUTENGAH,-3.35,128.75,3
3.1,10,15,DIY,-7.99,110.47,28
3.6,102,39,JATIM,-8.48,112.29,29
3.2,82,91,GORONTALO,-0.25,122.9,12
2.8,10,40,NTB,-8.29,116.56,8
4.1,10,182,ACEH,5.14,93.86,23
3.2,13,31,SULTENG,-1.17,120.58,11
3.0,10,60,PAPUABRT,-1.5,133.83,1
5.1,48,87,SULUT,4.33,125.81,15
2.4,10,36,SULTENG,-1.57,120.48,11
4.1,229,174,MALUKUTENGAH,-4.8,129.43,3
3.7,26,116,MALUT,1.07,126.36,5
3.2,26,80,JABAR,-8.11,107.9,4
4.6,271,222,MALUKUBRTDAYA,-6.42,128.8,14
3.5,15,179,BANTEN,-8.43,105.61,21
3.8,66,81,NTT,-8.97,124.05,7
2.9,29,61,PAPUA,-2.75,140.35,10
3.0,10,48,NTT,-10.42,123.8,7
3.6,10,123,NTB,-9.82,116.27,8
3.5,33,114,MALUT,1.52,126.54,5
2.0,10,23,SUMBAR,-0.1,100.32,20
2.8,25,73,JABAR,-7.65,106.56,4
3.6,10,125,MALUT,2.95,127.61,5
3.5,13,108,SULUT,0.89,125.93,15
3.1,10,20,PAPUABRT,-1.42,132.18,1
5.0,30,106,SULUT,4.87,126.28,15
4.5,12,103,MALUKUBRTDAYA,-8.45,128.67,14
4.0,10,135,JABAR,-8.2,107.18,4
3.4,126,62,MALUT,1.74,127.18,5
3.5,30,120,SULUT,1.31,126.2,15
3.2,103,81,GORONTALO,-0.13,122.84,12
3.1,28,74,NTB,-7.79,118.88,8
4.5,10,177,MALUT,-0.35,125.93,5
2.9,10,25,JABAR,-6.76,106.55,4
2.9,10,34,NTT,-10.22,124.09,7
2.9,10,28,JABAR,-6.73,106.56,4
3.5,10,25,JABAR,-6.76,106.53,4
3.4,15,55,ACEH,2.97,96.39,23
3.0,10,99,SULTENG,1.03,119.88,11
3.7,10,90,SULTENG,-1.92,122.49,11
3.5,22,62,NTB,-8.07,117.79,8
4.3,80,96,SULUT,4.85,126.5,15
3.0,10,125,MALUT,0.27,126.36,5
3.4,10,157,SULTENG,2.13,122.16,11
3.4,10,149,SULTENG,2.11,122.07,11
3.0,44,15,NTT,-9.28,119.1,7
2.9,21,107,JABAR,-8.02,107.36,4
3.5,34,64,LAMPUNG,-5.66,103.6,16
2.4,10,8,SULBAR,-2.93,119.4,30
3.5,23,29,SUMUT,0.77,97.28,2
4.1,10,135,PAPUABRT,-4.51,133.98,1
4.8,45,128,SULUT,1.24,126.26,15
3.3,17,127,BALI,-9.52,114.34,22
4.0,17,82,BENGKULU,-5.83,101.71,13
3.1,29,11,NTT,-9.97,123.99,7
3.2,52,27,BENGKULU,-2.33,101.14,13
1.5,16,31,NTT,-8.51,121.95,7
3.8,10,154,SULUT,5.37,126.47,15
3.7,86,32,PAPUA,-3.25,140.49,10
4.0,37,15,NTT,-9.55,119.12,7
4.4,10,28,PAPUA,-3.47,140.54,10
5.3,10,98,SULUT,4.81,126.31,15
4.4,10,25,MALUKUTENGAH,-3.4,128.75,3
3.3,22,9,PAPUA,-3.0,139.94,10
2.8,10,79,SUMBAR,0.13,99.11,20
2.4,10,8,SUMBAR,-0.39,100.39,20
3.2,17,48,MALUT,1.19,127.05,5
2.9,213,13,BALI,-8.34,115.28,22
3.6,85,34,BENGKULUUTARA,-3.5,101.89,31
3.1,10,31,ACEHBESAR,5.09,95.85,32
3.8,16,93,SUMUT,0.34,98.62,2
3.4,304,83,SULUT,1.82,124.16,15
4.2,10,288,JABAR,-9.58,106.67,4
4.2,10,288,JABAR,-9.58,106.67,4
4.2,10,288,JABAR,-9.58,106.67,4
4.2,10,288,JABAR,-9.58,106.67,4
3.6,10,129,MALUT,1.81,126.52,5
4.3,36,28,PAPUA,-3.27,140.52,10
4.5,10,95,JATIM,-9.01,111.31,29
2.8,10,43,SULTENG,-1.34,120.37,11
3.7,10,55,PAPUA,-2.66,140.23,10
2.9,101,8,SUMUT,2.05,98.9,2
3.6,20,79,MALUT,0.49,126.71,5
3.4,16,28,NTB,-8.29,118.53,8
4.2,20,97,LAMPUNG,-6.07,103.92,16
2.7,11,10,SUMBAR,-0.22,100.4,20
4.5,70,135,PAPUABRT,-4.51,133.92,1
3.7,14,136,PAPUABRT,-4.52,133.9,1
4.0,128,11,SULUT,2.77,125.46,15
5.3,10,130,PAPUABRT,-4.46,133.91,1
2.5,10,24,JATENG,-7.15,109.87,33
5.2,14,146,SUMUT,0.1,96.47,2
3.8,10,129,JATIM,-9.3,113.18,29
3.4,10,99,JABAR,-8.51,108.1,4
2.9,33,90,GORONTALO,-0.26,122.95,12
3.1,10,40,SULBAR,-2.32,119.2,30
4.6,43,100,SULUT,4.86,126.41,15
4.1,87,124,SULUT,5.09,126.44,15
5.1,10,86,SULTENG,-1.85,122.48,11
3.9,10,65,BENGKULU,-2.97,101.55,13
2.9,155,18,NTT,-8.56,123.34,7
2.9,10,19,SULSEL,-2.52,121.01,17
4.4,76,140,SULUT,4.72,127.72,15
3.5,10,35,MALUT,1.57,128.68,5
3.8,11,124,SUMBAR,-0.33,98.8,20
4.0,11,65,ACEHBARATDAYA,3.43,96.54,34
4.4,147,208,MALUKUTENGGARABRT,-6.3,130.45,25
2.2,10,33,ACEH,4.99,95.98,23
3.9,476,123,SULSEL,-7.39,120.35,17
2.9,23,106,JABAR,-8.03,107.39,4
4.4,15,132,MALUKUTENGGARABRT,-7.08,130.51,25
3.4,10,17,JAMBI,-1.13,102.25,19
4.1,10,197,MALUKU,-4.88,130.48,6
3.0,22,82,GORONTALO,-0.2,123.07,12
2.9,13,92,NTT,-7.69,122.41,7
4.0,10,82,MALUT,-0.82,126.78,5
2.4,184,18,NTB,-8.53,117.58,8
2.8,10,34,MALUT,1.54,128.7,5
3.3,10,104,PAPUA,-1.8,139.86,10
3.2,243,255,MALUKU,-5.61,129.2,6
3.0,150,40,MALUT,1.44,127.24,5
4.5,10,109,MALUKUTENGAH,-4.26,128.75,3
3.8,10,117,MALUKU,-4.41,128.63,6
4.3,156,100,MALUKUTENGAH,-4.2,128.9,3
3.8,10,116,MALUKU,-4.41,128.61,6
3.9,10,124,MALUKU,-4.45,128.67,6
2.8,10,9,NTT,-10.0,123.97,7
4.3,10,112,SULUT,4.62,125.4,15
3.3,13,19,NTT,-10.41,120.35,7
3.6,10,25,NTT,-10.47,120.37,7
3.3,13,19,NTT,-10.41,120.35,7
3.7,15,20,NTT,-10.41,120.36,7
2.6,22,27,NTB,-8.31,118.35,8
3.4,13,50,PAPUABRT,-1.29,134.25,1
2.9,10,48,NTB,-8.03,118.86,8
2.6,10,20,SULTENG,-1.33,119.71,11
4.0,10,24,SULTENG,-1.29,119.68,11
4.0,78,81,GORONTALO,-0.18,122.99,12
3.5,10,35,MALUT,1.57,128.67,5
3.9,13,178,MALUT,-0.41,125.77,5
3.5,30,30,SULUT,3.82,126.88,15
3.0,10,86,PAPUA,-2.57,140.75,10
3.3,10,150,JATENG,-9.07,109.19,33
2.8,15,100,NTT,-9.27,123.05,7
3.6,97,20,SULUT,1.49,125.3,15
3.9,27,166,MALUKUTENGGARABRT,-7.95,129.81,25
3.1,10,41,MALUT,1.57,128.75,5
4.7,120,1268,PAPUA,-5.2,152.03,10
3.6,142,109,MALUKUBRTDAYA,-7.58,128.59,14
2.1,10,69,SULTENG,0.12,119.52,11
2.6,10,48,SULSEL,-2.41,120.77,17
3.4,10,78,PAPUABRT,-2.17,134.16,1
2.2,29,11,SULSEL,-4.06,119.72,17
3.6,13,48,ACEH,2.87,96.55,23
3.0,10,34,SULSEL,-6.19,120.21,17
3.3,10,5,BENGKULU,-3.14,102.23,13
2.7,10,64,MALUKUTENGAH,-2.86,129.34,3
4.5,282,33,NTB,-8.15,117.15,8
4.8,309,56,NTB,-7.95,117.23,8
5.0,310,52,NTB,-8.0,117.24,8
3.0,10,36,ACEH,4.54,96.42,23
3.5,45,73,MALUT,2.13,127.47,5
2.9,118,45,NTT,-8.27,124.14,7
3.3,276,101,NTT,-7.7,119.45,7
4.3,10,90,MALUT,-1.12,126.83,5
3.2,188,130,MALUKUTENGAH,-4.41,129.34,3
4.0,423,94,SULUT,1.68,122.92,15
4.8,10,413,SULUT,7.72,126.61,15
