mag,depth,lat,lon,rad,pga,loc_encoded
2.9,21,-9.6,119.53,7,2,7
2.8,22,0.73,98.45,72,2,2
2.6,28,-7.54,106.22,67,2,22
3.6,179,-9.4,117.97,110,2,8
3.2,180,5.06,125.43,161,2,15
5.2,54,8.64,126.41,516,2,15
3.1,10,-2.28,140.76,118,2,10
2.7,94,-8.41,122.41,32,2,7
2.8,25,-7.94,118.69,56,2,8
3.8,18,3.81,126.8,25,2,15
2.8,110,-8.53,118.4,7,2,8
5.2,15,-10.44,91.18,1320,1,21
3.6,10,1.33,123.97,50,2,15
2.9,10,-6.78,107.09,7,2,4
5.7,18,-2.14,100.39,89,2,21
5.7,16,-2.14,100.41,89,2,21
3.8,10,-8.31,121.49,45,2,7
4.5,74,12.12,93.41,723,1,24
2.3,10,-8.06,113.08,18,2,31
2.9,10,-0.79,121.93,55,2,11
3.2,20,-2.23,99.35,33,2,21
3.2,10,-7.91,106.86,108,2,4
3.4,10,-9.82,113.93,179,2,23
2.6,21,-7.96,106.82,112,2,4
2.3,10,-7.25,107.64,28,2,4
3.9,60,-8.98,124.11,75,2,7
1.9,24,-9.88,120.5,36,2,7
4.7,106,1.91,98.89,14,3,2
4.3,584,-6.89,125.23,173,2,7
2.9,10,-2.26,140.1,85,2,10
4.3,584,-6.89,125.23,173,2,7
2.9,10,-2.26,140.1,85,2,10
3.8,10,-8.99,124.86,18,2,7
3.6,10,-9.62,112.88,168,2,31
2.9,10,-2.77,128.96,58,2,3
3.7,17,1.34,97.21,19,2,2
4.8,163,-7.81,127.65,41,2,14
3.9,10,-0.68,133.35,61,2,1
3.1,13,-9.6,117.79,130,2,8
3.8,20,-0.37,124.46,98,2,15
3.6,23,-7.86,117.78,80,2,8
2.9,153,-8.34,119.59,37,2,7
4.8,10,-0.44,124.3,97,2,15
2.2,26,-7.16,109.79,26,2,35
3.3,17,-2.57,139.36,20,2,10
4.5,10,6.43,125.8,287,2,15
4.6,10,4.51,94.33,139,2,39
3.4,18,-7.54,106.05,71,2,22
3.1,10,-7.57,105.97,77,2,22
2.5,10,-0.24,100.46,12,2,21
3.8,140,-7.65,128.29,78,2,14
3.9,10,-8.08,117.75,58,2,8
3.6,10,-4.69,133.82,127,2,6
3.5,29,1.23,121.21,33,2,11
5.3,10,2.48,127.02,136,2,5
5.2,10,2.49,127.06,83,2,5
3.3,10,-7.02,105.15,61,2,22
3.2,11,3.1,97.38,26,2,41
3.8,10,-4.04,139.12,35,2,10
3.3,10,-7.77,106.93,94,2,4
3.9,10,-0.61,131.71,55,2,1
2.7,151,0.2,122.41,37,2,12
3.7,16,-6.51,104.43,117,2,16
3.3,134,-0.05,123.27,66,2,12
3.3,32,1.66,126.41,134,2,5
4.1,181,1.12,127.5,7,2,5
4.7,10,8.4,126.3,490,2,15
3.6,10,-1.72,128.39,77,2,5
2.7,10,4.63,96.3,40,2,24
2.0,10,-1.18,120.18,40,2,11
2.6,11,-8.31,124.48,8,2,7
2.5,10,-1.95,133.95,69,2,1
3.1,10,-8.93,117.83,66,2,8
3.2,10,-7.32,107.61,33,2,4
4.6,43,-2.14,138.28,26,2,10
2.8,23,-3.33,128.91,6,2,3
3.1,39,-9.77,119.37,1,2,7
5.1,115,8.5,127.23,503,2,15
3.1,39,-8.97,124.02,81,2,7
3.6,35,0.78,121.38,21,2,11
2.9,10,0.62,126.15,136,2,5
3.1,10,0.21,99.93,15,2,21
3.5,102,-0.05,123.52,70,2,15
4.5,75,5.08,126.33,126,2,15
3.7,220,2.71,128.53,78,2,5
3.5,10,-1.88,122.62,78,2,11
3.6,12,-9.65,121.9,93,2,7
3.2,112,-8.92,119.19,52,2,7
2.8,10,-2.92,119.65,20,2,17
4.0,10,-5.68,112.56,147,2,31
4.1,10,-5.89,112.5,123,2,31
3.9,12,-5.94,112.45,115,2,31
4.6,313,1.34,123.56,56,2,15
4.1,446,2.24,122.91,152,2,15
3.6,10,-6.0,112.15,100,2,31
3.9,15,-2.36,137.03,66,2,10
3.3,10,-9.76,117.97,114,2,7
4.3,11,-8.42,119.27,58,2,8
3.9,186,0.35,122.05,16,2,12
3.8,10,-5.84,112.36,122,2,31
3.3,34,0.85,125.36,66,2,15
2.6,10,-0.51,120.81,98,2,11
3.3,10,-5.72,112.33,134,2,31
3.8,23,-6.41,104.96,74,2,22
4.5,10,2.45,126.92,142,2,5
4.4,10,-0.97,128.6,114,2,5
2.4,10,-1.85,120.88,52,2,11
2.7,82,0.6,121.62,39,2,12
3.7,12,-2.23,139.07,30,2,10
3.0,10,-9.74,121.87,90,2,7
4.0,10,-9.41,123.63,70,2,7
4.3,10,5.39,93.93,164,2,24
4.4,10,3.91,126.96,32,2,15
3.0,21,-7.7,106.56,79,2,4
3.0,156,0.23,122.17,35,2,12
4.5,184,-7.01,129.44,222,2,14
4.4,197,-6.89,129.77,208,2,27
1.9,20,-1.17,133.9,25,2,1
4.0,20,-2.04,136.67,64,2,10
3.3,19,-6.5,111.69,45,2,35
3.4,27,-7.43,106.0,62,2,22
4.1,10,-5.76,112.34,130,2,31
5.3,59,-6.65,147.29,775,1,10
3.2,165,-8.34,120.15,33,2,7
4.4,10,2.09,126.63,134,2,5
2.9,10,-6.71,106.69,17,2,4
3.1,11,-10.12,118.55,76,2,7
3.9,97,-6.16,112.27,85,2,31
2.8,10,-2.09,119.68,21,2,32
3.8,10,-5.7,112.54,144,2,31
4.6,128,0.07,123.81,39,2,15
4.1,10,-5.3,112.14,177,2,31
3.2,29,-7.26,106.14,38,2,22
3.1,547,-7.44,120.57,128,2,17
5.3,10,-8.81,100.36,439,2,13
3.8,48,-3.62,102.04,26,2,33
4.2,10,-5.59,112.61,158,2,31
4.1,13,-6.08,112.43,100,2,31
3.9,10,-6.1,112.3,93,2,31
2.9,10,-1.79,120.55,49,2,11
3.9,10,0.02,125.59,136,2,15
3.8,10,-1.59,120.36,48,2,11
4.5,10,-5.37,112.51,177,2,31
3.7,10,-5.79,112.45,131,2,31
3.2,10,-7.85,125.29,95,2,7
3.1,10,1.1,120.7,25,2,11
3.9,10,5.47,126.12,174,2,15
3.4,10,-2.62,134.4,27,2,1
4.0,108,-8.6,118.4,10,2,8
3.5,10,-5.8,112.43,129,2,31
3.6,10,-5.74,112.46,136,2,31
4.4,10,4.96,127.34,129,2,15
4.1,25,-9.11,122.84,88,2,7
5.6,27,-4.66,102.72,31,2,18
5.8,27,-4.66,102.72,31,3,18
4.5,10,-5.78,112.37,129,2,31
3.5,10,0.49,126.27,125,2,5
4.0,10,-5.66,112.45,144,2,31
3.6,10,-5.79,112.35,127,2,31
4.2,10,-7.07,105.1,69,2,22
4.1,6,-5.76,112.34,130,2,31
4.2,10,-5.71,112.5,141,2,31
3.3,10,-5.67,112.39,141,2,31
3.2,77,0.34,122.32,21,2,12
4.9,20,-4.64,101.96,85,2,13
3.5,10,-2.57,129.59,107,2,3
3.6,78,-0.26,123.11,88,2,12
4.5,13,-5.78,112.47,133,2,31
4.4,10,-5.69,112.39,139,2,31
4.3,541,6.05,123.98,318,2,15
3.7,10,2.31,126.83,135,2,5
4.1,10,-5.54,112.69,167,2,31
2.7,298,-0.4,131.72,71,2,1
4.0,10,-5.56,112.48,156,2,31
4.1,10,-5.76,112.3,129,2,31
3.6,10,-5.63,112.47,148,2,31
2.4,10,0.23,99.96,19,2,21
3.5,81,-5.94,112.33,111,2,31
3.7,10,-5.72,112.42,137,2,31
3.3,10,-5.65,112.34,142,2,31
2.6,65,0.51,121.05,28,2,11
3.3,10,-5.89,112.33,116,2,31
3.7,10,-5.73,112.29,132,2,31
2.4,10,-3.88,119.89,18,2,17
3.3,14,-5.87,112.36,119,2,31
4.1,10,-5.78,112.29,127,2,31
3.6,10,-5.72,112.39,136,2,31
3.7,10,-5.82,112.33,124,2,31
3.1,25,-9.69,119.86,2,2,7
3.3,10,-5.73,112.38,135,2,31
4.5,10,-5.64,112.34,143,2,31
6.1,10,-5.74,112.32,132,2,31
6.0,10,-5.74,112.32,132,2,31
3.4,10,-6.63,105.74,18,2,22
4.4,10,-4.26,137.06,71,2,10
2.6,10,-2.43,121.07,20,2,17
4.2,35,3.61,126.34,57,2,15
3.3,221,2.48,128.49,52,2,5
3.6,10,0.22,100.08,13,2,21
4.1,17,4.88,94.86,84,2,39
3.4,10,-2.14,120.9,57,2,17
5.4,10,-1.83,137.5,79,2,10
5.4,10,-1.83,137.5,83,2,10
3.3,10,0.44,126.71,81,2,5
2.8,29,-2.05,100.57,77,2,21
2.0,53,0.85,122.68,21,2,12
3.4,26,-3.34,101.45,83,2,13
3.8,19,0.81,97.44,18,2,2
2.5,25,-0.32,123.04,95,2,12
4.8,152,-7.5,128.56,111,2,14
3.2,10,-0.78,123.63,88,2,11
4.6,170,-7.3,129.02,166,2,14
5.3,21,-2.09,100.44,83,2,21
5.3,21,-2.09,100.44,83,2,21
3.0,10,-1.15,120.7,27,2,11
2.5,19,-2.39,140.02,68,2,10
3.1,112,0.51,99.61,40,2,2
2.5,10,-2.51,121.38,24,2,17
3.9,65,-8.99,114.58,71,2,23
3.4,20,-5.78,102.89,84,2,13
2.7,22,-8.01,107.93,71,2,4
3.7,10,-2.26,140.1,85,2,10
4.7,58,-6.68,130.53,167,2,27
3.6,25,-10.38,123.88,43,2,7
3.0,39,-4.64,102.67,34,2,18
4.8,153,-7.75,127.86,45,2,14
4.9,14,1.19,126.46,110,2,5
4.0,30,-6.02,103.05,114,2,13
3.8,13,-11.37,118.99,178,2,7
3.6,12,-8.15,119.88,38,2,7
3.3,10,-9.57,116.26,96,2,8
3.5,163,-8.34,119.67,30,2,7
2.7,145,0.12,122.09,40,2,12
2.9,148,0.26,121.46,58,2,12
3.0,108,-8.61,118.41,10,2,8
1.9,10,-8.76,117.85,56,2,8
4.8,105,4.84,127.29,115,2,15
5.1,107,4.9,127.33,31,2,15
4.8,25,4.84,126.3,102,2,15
3.7,13,-1.94,139.64,76,2,10
4.5,10,-9.46,113.22,147,2,31
4.2,26,-9.17,119.16,24,2,7
4.4,10,6.45,125.89,286,2,15
3.8,10,-0.62,99.51,67,2,21
2.8,10,-2.46,121.15,13,2,17
4.1,10,-2.69,129.33,79,2,3
3.3,10,-0.85,122.05,63,2,11
3.5,10,-0.88,122.06,63,2,11
3.1,19,-7.96,107.01,116,2,4
2.5,11,5.19,96.25,22,2,24
2.7,10,-2.61,121.16,3,2,17
3.6,10,-1.65,121.22,15,2,11
4.6,15,0.15,125.17,91,2,15
4.0,16,-0.68,98.57,162,2,2
3.6,10,-3.76,130.17,81,2,6
3.6,35,0.85,125.35,65,2,15
3.1,10,-6.64,107.81,9,2,4
4.2,154,0.1,123.79,37,2,15
3.2,50,-9.53,120.18,17,2,7
2.7,109,-8.56,118.4,7,2,8
3.3,10,0.23,126.22,140,2,5
2.6,21,-10.5,120.16,20,2,7
4.4,10,-9.14,112.64,111,2,31
4.1,421,-4.49,125.75,202,2,6
4.6,10,-1.09,127.31,53,2,5
2.9,157,-8.21,117.98,64,2,8
3.8,13,-0.78,133.5,41,2,1
3.9,14,-10.49,123.71,58,2,7
3.5,10,-3.14,130.67,20,2,6
5.3,54,-4.79,134.12,108,2,6
5.4,10,-4.76,134.11,112,2,6
2.3,77,0.23,121.91,25,2,12
2.3,10,-1.43,120.23,38,2,11
4.9,37,8.12,127.24,462,2,15
2.4,10,-7.21,107.61,22,2,4
2.0,53,-9.01,119.36,46,2,7
1.6,10,-4.55,122.54,29,2,40
2.5,13,-10.13,118.79,63,2,7
2.0,23,-8.19,119.85,34,2,7
3.7,12,-4.98,139.73,58,2,10
4.4,100,7.84,126.46,427,2,15
1.8,10,-9.96,124.44,20,2,7
3.1,24,-0.12,124.14,57,2,15
2.7,10,-10.42,117.42,195,2,8
3.6,23,-4.92,102.8,53,2,18
2.0,18,-8.48,117.23,21,2,8
4.4,10,-0.41,124.35,96,2,15
2.7,74,-8.36,111.76,30,2,31
3.4,159,-8.36,119.65,30,2,7
2.7,10,0.88,121.43,13,2,11
3.8,48,-3.44,102.03,18,2,33
3.1,23,0.76,121.51,28,2,11
3.5,17,-6.91,121.12,97,2,17
2.6,40,0.94,122.58,36,2,12
3.2,10,-7.16,114.72,94,2,31
2.6,65,1.06,126.98,53,2,5
2.7,177,-7.92,120.18,71,2,7
2.9,10,-2.85,121.72,26,2,11
3.5,180,-5.77,130.19,274,2,27
4.4,34,1.89,127.26,69,2,5
4.0,10,2.95,127.18,129,2,15
4.6,75,5.47,126.59,163,2,15
4.5,122,2.79,128.11,85,2,5
3.6,10,-9.76,119.6,15,2,7
3.6,10,-2.87,122.44,62,2,11
5.0,166,5.86,125.73,232,2,15
5.2,170,5.86,125.71,195,2,15
3.1,10,-2.8,121.81,15,2,11
2.5,10,-2.88,121.73,27,2,11
3.4,10,-9.27,110.32,145,2,30
3.9,27,3.6,126.89,50,2,15
4.0,10,-10.36,109.47,290,2,30
3.9,555,-6.31,126.06,276,2,7
3.6,10,-4.1,133.54,100,2,1
4.2,137,-4.49,133.85,133,2,1
4.7,10,0.54,98.49,75,2,2
3.3,195,-4.33,129.14,116,2,3
2.6,142,-8.42,118.83,10,2,8
3.1,10,-1.91,122.53,87,2,11
3.1,10,-2.92,119.46,15,2,32
3.2,10,0.58,98.55,81,2,2
4.2,10,0.11,125.18,95,2,15
4.0,10,4.51,96.51,37,2,24
3.9,10,-4.78,139.68,35,2,10
5.6,78,8.6,127.02,512,2,15
5.3,10,-4.7,139.54,22,3,44
5.4,10,-4.7,139.54,22,3,10
4.6,457,1.75,122.38,119,2,12
2.6,55,-9.04,122.63,66,2,7
4.6,12,5.19,126.22,141,2,15
2.3,10,-1.66,120.42,47,2,11
2.7,10,-2.32,120.82,48,2,17
4.5,23,1.69,96.94,54,2,2
5.1,10,-3.95,144.32,401,2,10
4.0,10,-11.13,116.75,264,2,8
4.5,195,-7.04,129.87,190,2,27
4.4,10,1.91,126.69,117,2,5
3.8,30,0.6,98.3,54,2,2
3.7,10,-8.25,107.86,93,2,4
4.3,10,-3.43,126.92,27,2,6
3.8,27,-7.01,105.22,55,2,22
3.0,10,-2.46,134.13,48,2,1
2.9,10,0.36,99.84,27,2,21
3.3,14,-1.44,134.27,65,2,1
3.4,10,-1.43,134.31,66,2,1
3.4,10,-2.49,121.0,21,2,17
2.9,10,-2.12,120.49,59,2,17
3.3,32,-0.72,99.31,92,2,21
3.2,248,0.2,122.57,44,2,12
4.3,34,4.16,125.82,71,2,15
2.8,214,0.15,122.27,42,2,12
3.6,10,-1.42,134.33,67,2,1
3.5,14,-7.7,106.54,79,2,4
3.2,39,1.42,125.77,72,2,15
3.5,33,-0.19,122.83,87,2,12
3.5,22,2.1,96.19,45,2,24
4.7,74,9.09,127.92,582,1,15
6.5,10,-8.42,107.26,151,2,4
6.6,10,-8.42,107.26,151,2,4
3.9,10,-5.78,112.27,126,2,31
2.9,5,-6.84,107.0,11,2,4
4.9,159,-6.44,130.32,202,2,27
5.2,179,-6.39,130.26,210,2,26
4.8,10,-7.08,105.42,49,2,22
4.2,10,-0.76,123.04,60,2,11
3.5,11,1.01,126.13,121,2,15
3.3,299,-6.67,107.95,21,2,4
3.6,388,-7.75,120.82,103,2,7
3.9,71,-2.63,139.52,39,2,10
3.9,10,4.1,94.58,126,2,39
2.8,113,-7.77,107.89,51,2,4
3.0,45,-9.23,123.84,84,2,7
3.6,16,-2.96,128.94,37,2,3
3.7,36,-0.31,122.92,97,2,12
4.8,10,1.67,122.26,118,2,12
4.8,10,-10.63,115.0,205,2,23
5.0,10,-10.62,115.05,203,2,23
3.4,90,-4.16,102.69,15,2,13
3.6,13,-10.0,118.83,48,2,7
3.9,522,-7.31,124.96,118,2,7
3.3,57,-9.12,122.75,81,2,7
3.8,30,3.65,126.71,38,2,15
3.2,10,-3.14,139.95,19,2,10
3.1,259,-0.06,122.09,59,2,12
3.2,112,-8.83,119.32,64,2,7
4.1,10,-2.35,120.94,36,2,17
3.3,10,-1.43,134.53,82,2,1
3.0,42,-9.31,120.8,60,2,7
3.5,207,-2.2,102.36,37,2,20
3.9,10,-3.32,128.36,33,2,6
4.9,10,-9.34,107.91,193,2,4
4.7,10,-3.32,128.41,37,2,6
3.1,52,-8.9,124.17,77,2,7
4.7,235,6.1,95.28,23,2,24
4.7,21,-2.92,100.01,109,2,21
4.9,10,7.32,127.16,372,2,15
3.7,58,-8.92,123.97,73,2,7
3.9,12,-6.61,104.17,137,2,16
4.2,476,5.41,123.78,275,2,15
3.4,11,-7.87,117.4,68,2,8
3.8,10,-8.19,107.9,85,2,4
3.0,10,-2.71,121.64,29,2,11
3.3,23,3.48,96.74,46,2,36
5.1,156,0.19,122.57,45,2,12
5.3,156,0.19,122.57,45,2,12
3.7,10,-0.14,124.46,77,2,15
3.3,127,-6.84,106.5,17,2,4
4.2,74,-0.08,124.16,54,2,15
4.1,37,0.98,98.73,74,2,2
3.9,10,-2.37,140.5,99,2,10
4.3,10,-4.22,137.02,65,2,10
4.1,11,-0.81,127.44,19,2,5
3.5,10,0.92,120.51,27,2,11
3.7,10,-2.68,129.71,98,2,6
4.2,390,-6.12,127.6,226,2,14
3.2,103,-8.5,118.41,7,2,8
3.3,10,2.16,126.69,134,2,5
4.3,114,-7.67,127.57,58,2,14
4.2,10,-0.76,122.11,73,2,11
3.7,311,-7.84,117.45,72,2,8
4.0,33,1.02,98.88,58,2,2
3.3,10,-2.43,121.2,17,2,17
3.6,13,-1.48,134.54,86,2,1
3.5,97,-7.94,119.26,81,2,8
5.1,10,-9.11,111.31,105,2,31
2.8,10,-7.97,110.48,14,2,30
3.3,10,-7.13,111.86,3,2,31
3.5,10,-2.21,121.0,45,2,17
4.9,120,-6.41,130.93,178,2,27
5.0,10,-6.33,130.86,188,2,26
4.7,11,1.1,127.01,50,2,5
2.8,10,-2.84,119.44,15,2,32
4.9,52,-8.36,109.19,73,2,35
2.3,10,-1.36,120.07,21,2,11
3.3,11,-0.79,99.09,117,2,21
3.9,10,-8.79,109.24,121,2,35
3.7,65,0.58,120.88,8,2,11
2.7,18,-8.18,120.39,48,2,7
3.1,10,-0.6,127.81,35,2,5
4.3,612,4.86,124.07,210,2,15
4.0,322,-5.84,129.06,266,2,6
3.6,30,-9.16,114.26,97,2,23
3.5,14,3.0,96.18,62,2,24
3.6,11,-9.6,117.77,129,2,8
3.2,26,-0.35,99.03,102,2,21
2.8,19,-0.38,123.58,95,2,15
3.1,161,0.36,122.03,14,2,12
2.8,101,-0.33,123.69,85,2,15
3.2,272,1.86,126.66,117,2,5
3.1,10,-8.32,117.99,57,2,8
4.5,52,4.99,126.92,113,2,15
4.2,10,-8.83,110.68,86,2,31
4.4,10,-0.75,99.06,118,2,21
3.3,10,-2.82,122.29,45,2,11
2.7,28,-10.0,119.83,33,2,7
3.4,10,-2.91,119.4,8,2,32
4.4,208,1.5,124.9,12,2,15
3.0,10,-9.14,110.49,126,2,31
3.6,10,-3.19,123.31,98,2,40
4.1,280,1.64,124.32,56,2,15
2.3,10,-0.77,121.66,39,2,11
3.2,10,-2.86,129.27,59,2,3
2.5,22,-9.93,118.64,53,2,7
3.0,10,-8.01,122.38,70,2,7
3.5,85,-0.18,122.87,85,2,12
3.4,37,4.07,126.6,11,2,15
3.1,10,1.74,99.23,16,2,2
3.3,10,-3.14,123.56,114,2,40
4.8,10,-7.45,105.99,64,2,22
4.8,507,-7.3,125.0,120,2,7
5.0,521,-7.3,125.0,120,2,7
3.1,107,-8.56,114.95,19,2,23
4.0,10,-1.11,129.61,140,2,1
3.1,111,-0.08,122.88,74,2,12
4.2,10,-6.77,128.79,189,2,14
3.5,10,-9.89,110.54,200,2,31
4.4,490,5.38,124.13,248,2,15
3.2,91,-2.94,101.94,36,2,13
5.0,10,2.18,126.72,118,2,5
5.0,10,2.18,126.72,133,2,5
3.5,10,1.49,126.4,127,2,5
4.3,10,1.24,126.17,118,2,15
3.6,29,-9.61,118.88,11,2,7
3.3,10,-8.22,116.79,27,2,8
3.6,247,-7.75,119.51,93,2,7
4.7,51,13.15,126.2,1018,1,15
3.5,22,-2.31,140.06,78,2,10
4.9,10,2.28,126.78,136,2,5
3.6,63,-8.15,110.31,27,2,30
3.4,10,-5.71,112.39,137,2,31
3.2,11,-2.83,129.45,75,2,3
3.5,10,-2.8,129.45,77,2,3
3.7,10,-2.8,129.47,79,2,3
3.0,10,-2.82,129.44,75,2,3
4.1,11,-2.74,129.39,78,2,3
3.9,10,-9.37,107.0,248,2,4
3.2,10,2.79,127.28,139,2,5
2.3,11,-9.55,119.08,11,2,7
4.3,10,-10.19,106.49,354,2,4
1.7,69,-8.93,121.94,32,2,7
2.2,20,-3.17,118.6,37,2,32
2.9,102,-8.91,115.15,15,2,23
2.7,25,-2.76,139.27,33,2,10
2.4,10,-0.59,100.39,12,2,21
4.7,13,3.72,126.83,35,2,15
3.3,10,-2.76,129.45,81,2,3
3.5,10,-2.76,129.43,79,2,3
3.1,14,1.22,126.78,78,2,5
3.9,15,-2.88,129.49,75,2,3
3.6,10,-9.51,113.16,153,2,31
2.8,146,-0.05,123.38,70,2,12
2.8,10,-2.8,129.4,74,2,3
4.8,10,-2.78,129.43,78,2,3
3.0,10,-8.09,115.26,18,2,23
4.4,10,2.74,127.37,128,2,5
1.7,21,-8.53,121.95,30,2,7
3.9,24,0.43,124.85,44,2,15
3.2,30,2.6,97.75,29,2,37
4.6,34,4.31,126.87,40,2,15
3.2,10,0.83,126.1,128,2,15
3.2,10,-1.27,134.79,96,2,1
3.5,10,-8.19,106.97,141,2,4
3.6,25,3.39,96.51,70,2,36
3.4,44,-9.37,119.13,6,2,7
3.3,10,2.52,127.36,112,2,5
3.0,151,1.56,99.56,9,2,2
3.0,151,1.56,99.56,9,2,2
3.5,90,-8.5,123.65,18,2,7
3.6,10,2.8,127.2,145,2,15
2.9,10,-3.53,133.4,64,2,1
3.9,13,3.65,128.05,157,2,15
2.5,10,0.88,127.66,14,2,5
3.6,10,-1.51,134.54,89,2,1
2.6,18,-7.86,120.11,74,2,7
2.4,10,-1.69,120.12,42,2,11
2.5,17,-8.06,117.63,53,2,8
3.1,14,-1.41,134.38,69,2,1
3.7,10,-2.46,120.97,26,2,17
3.6,33,-1.51,134.32,75,2,1
4.0,10,-1.48,134.57,89,2,1
3.2,15,-8.48,117.04,1,2,8
3.3,10,-5.71,112.55,143,2,31
2.7,10,-2.83,129.42,73,2,3
4.6,13,-2.79,129.4,74,2,3
2.3,10,-1.97,120.55,67,2,11
4.0,10,2.8,127.19,144,2,15
2.2,10,-10.04,124.3,32,2,7
2.2,10,-1.45,134.61,90,2,1
3.6,10,2.8,127.25,142,2,5
3.1,11,0.3,125.17,80,2,15
3.9,10,-7.99,117.54,57,2,8
2.7,10,-4.08,128.66,92,2,3
3.9,10,-1.5,134.58,91,2,1
3.6,91,-8.79,116.21,11,2,8
4.4,13,-1.49,134.54,87,2,1
3.5,10,-1.49,134.61,93,2,1
3.7,10,2.8,127.19,144,2,15
3.9,10,-5.74,112.53,139,2,31
3.7,10,2.83,127.31,139,2,5
6.5,10,2.75,127.14,147,2,5
6.5,10,2.75,127.14,87,2,5
4.9,10,-1.47,134.65,94,2,1
3.0,10,-1.24,121.22,38,2,11
4.2,10,-1.42,134.66,92,2,1
3.7,10,-1.48,134.53,86,2,1
3.6,10,1.76,99.08,28,2,2
4.7,25,-4.84,103.01,38,2,13
2.7,10,-1.35,134.64,85,2,1
3.8,10,-1.48,134.51,84,2,1
6.1,10,-1.48,134.51,42,3,1
6.1,10,-1.51,134.54,89,2,1
3.1,12,1.67,125.97,97,2,15
3.8,156,-4.24,103.39,28,2,28
3.4,10,-0.79,136.26,41,2,10
4.6,11,-2.83,127.9,41,2,6
4.0,164,0.25,122.32,31,2,12
3.4,42,-7.28,106.56,32,2,4
4.1,10,0.66,129.32,109,2,5
4.0,113,-8.66,118.39,16,2,8
3.9,10,-3.33,123.45,90,2,40
4.6,62,4.4,127.55,106,2,15
3.8,16,3.3,127.28,102,2,15
3.8,10,-9.5,108.45,199,2,4
4.7,155,-7.76,128.25,66,2,14
5.3,141,-7.76,128.25,67,2,14
2.9,14,-6.34,104.19,109,2,16
2.6,10,-6.58,104.08,139,2,16
3.4,10,-5.84,112.24,119,2,31
2.2,47,-8.23,111.04,9,2,31
3.3,10,-2.51,119.09,51,2,32
3.2,161,-8.22,114.41,4,2,31
3.7,10,1.09,120.29,57,2,11
4.1,10,-3.29,123.32,88,2,40
3.1,10,0.82,120.48,31,2,11
4.0,10,-3.73,124.19,133,2,40
3.4,10,1.4,126.37,127,2,5
3.2,10,-8.28,107.05,149,2,4
3.6,26,-6.0,133.14,58,2,38
4.3,165,-7.47,128.77,132,2,14
5.2,101,-3.06,138.36,48,2,44
4.0,34,-0.12,123.71,63,2,15
4.4,374,-6.69,128.52,181,2,14
4.3,10,-0.16,124.63,92,2,15
3.4,29,-8.3,109.02,63,2,35
4.4,134,5.94,126.78,215,2,15
3.8,10,0.42,125.43,98,2,15
2.3,10,-1.25,120.62,21,2,11
2.5,106,-8.61,118.38,12,2,8
3.9,12,-3.99,133.82,79,2,1
3.6,86,-0.17,122.99,80,2,12
4.4,180,-7.77,127.89,43,2,14
3.7,10,-3.09,123.48,115,2,40
2.1,10,-1.24,120.62,22,2,11
4.6,14,0.55,98.55,81,2,2
3.4,10,1.19,120.27,64,2,11
3.6,10,3.01,96.38,59,2,24
3.8,147,3.43,125.81,40,2,15
2.1,41,-7.25,106.57,29,2,4
3.2,10,-8.08,107.3,116,2,4
4.3,10,2.32,126.89,132,2,5
3.7,20,-7.67,119.03,92,2,8
3.1,10,-5.68,112.3,138,2,31
3.0,50,-8.33,110.93,25,2,31
4.5,10,1.5,126.33,134,2,15
3.4,54,-9.15,118.2,74,2,8
4.7,13,5.64,125.48,225,2,15
3.0,36,-4.72,102.63,43,2,18
3.2,21,-10.69,123.72,66,2,7
2.5,10,-2.93,127.84,42,2,6
4.7,10,-3.32,123.3,84,2,40
4.8,10,-3.27,123.3,89,2,40
3.7,10,-9.58,112.87,163,2,31
3.6,10,-10.69,114.96,212,2,23
3.6,114,0.43,122.02,8,2,12
2.8,42,-7.3,106.52,34,2,4
3.9,17,-3.3,123.34,87,2,40
3.8,10,-7.84,114.37,42,2,31
3.7,10,-5.8,112.59,136,2,31
3.6,46,-7.87,106.76,100,2,4
3.0,10,-1.1,120.73,32,2,11
3.0,284,-7.79,119.44,93,2,7
3.2,136,-7.37,107.68,29,2,4
4.1,10,5.72,126.41,193,2,15
3.5,10,0.05,125.37,115,2,15
2.9,10,-2.66,121.63,30,2,11
3.7,10,-5.8,112.6,137,2,31
3.0,10,-3.53,120.32,26,2,17
3.6,10,-5.96,112.49,115,2,31
4.1,12,-5.28,102.57,34,2,13
