mag,depth,rad,prov,lat,lon,prov_enco,kmeans,kmedoids
3.3,10.0,12.0,NTT,-8.76,121.24,7,2.0,0.0
3.9,10.0,47.0,NTT,-8.26,121.19,7,2.0,0.0
5.9,11.0,56.0,NTT,-8.18,121.19,7,2.0,0.0
4.0,50.0,148.0,MALUKU,-4.29,131.11,6,0.0,2.0
4.3,484.0,217.0,SULUT,3.65,123.53,15,1.0,1.0
4.1,10.0,8.0,NTB,-8.37,116.89,8,2.0,0.0
5.0,71.0,111.0,PAPUA,-4.06,141.46,10,0.0,2.0
5.1,61.0,111.0,PAPUA,-4.04,141.49,10,0.0,2.0
5.5,52.0,116.0,PAPUA,-4.04,141.55,10,0.0,2.0
5.1,61.0,111.0,PAPUA,-4.04,141.49,10,0.0,2.0
4.7,10.0,209.0,JABAR,-9.04,107.17,4,3.0,3.0
4.0,40.0,16.0,NTT,-9.48,119.63,7,2.0,0.0
3.5,16.0,45.0,SULUT,3.64,126.88,15,2.0,0.0
2.9,58.0,15.0,NTT,-10.05,123.76,7,2.0,0.0
3.8,14.0,71.0,ACEH,2.65,95.75,23,0.0,2.0
3.3,54.0,38.0,RIAU,-0.19,101.25,24,2.0,1.0
4.4,126.0,182.0,SULUT,5.61,127.0,15,3.0,3.0
3.5,11.0,71.0,BENGKULU,-3.01,100.64,13,0.0,2.0
6.0,166.0,236.0,MALUKUTENGGARABRT,-6.1,130.29,25,3.0,3.0
3.8,169.0,55.0,NTT,-8.34,121.8,7,1.0,1.0
3.2,25.0,125.0,SULUT,1.34,126.25,15,0.0,2.0
3.8,10.0,4.0,SULTENG,-1.1,121.5,11,2.0,0.0
3.2,20.0,88.0,NTB,-9.26,118.13,8,0.0,2.0
3.9,10.0,84.0,MALUT,-1.34,126.33,5,0.0,2.0
3.7,199.0,19.0,SUMSEL,-3.13,102.89,26,1.0,1.0
3.1,12.0,39.0,NTT,-9.7,123.68,7,2.0,0.0
3.3,10.0,17.0,SULSEL,-2.43,121.21,17,2.0,0.0
3.2,85.0,61.0,NTT,-8.8,119.43,7,1.0,1.0
3.9,11.0,33.0,BENGKULU,-5.05,102.23,13,2.0,0.0
4.6,153.0,252.0,SULUT,6.19,126.08,15,3.0,3.0
3.5,10.0,84.0,BANTEN,-6.34,104.89,21,0.0,2.0
3.2,10.0,26.0,NTT,-10.07,123.66,7,2.0,0.0
5.0,99.0,311.0,PAPUA,-4.13,143.45,10,3.0,3.0
4.2,23.0,74.0,MALUT,-1.45,126.33,5,0.0,2.0
3.5,100.0,40.0,NTT,-9.07,119.01,7,1.0,1.0
4.3,10.0,21.0,PAPUA,-0.63,135.81,10,2.0,0.0
3.4,12.0,27.0,NTT,-10.19,124.03,7,2.0,0.0
4.1,53.0,13.0,SUMBAR,-1.44,100.5,20,2.0,0.0
2.4,121.0,12.0,SUMUT,2.13,98.97,2,1.0,1.0
5.4,10.0,77.0,PAPUABRT,-3.97,133.8,1,0.0,2.0
3.4,10.0,41.0,NTT,-10.05,119.75,7,2.0,0.0
3.7,251.0,56.0,RIAU,0.54,100.84,24,1.0,1.0
4.0,10.0,112.0,MALUT,0.23,126.51,5,0.0,2.0
3.4,220.0,55.0,GORONTALO,0.12,122.86,12,1.0,1.0
3.2,124.0,36.0,GORONTALO,0.23,122.49,12,1.0,1.0
4.8,158.0,126.0,MALUKUBRTDAYA,-7.56,128.76,14,1.0,1.0
3.3,16.0,9.0,NTT,-10.4,120.23,7,2.0,0.0
2.7,95.0,40.0,NTB,-8.73,119.0,8,1.0,1.0
3.6,89.0,61.0,NTT,-8.92,123.81,7,1.0,1.0
4.0,557.0,129.0,NTT,-7.24,123.42,7,1.0,1.0
3.6,10.0,3.0,SULTENG,-1.09,121.51,11,2.0,0.0
3.1,130.0,12.0,SUMUT,0.98,99.56,2,1.0,1.0
3.3,194.0,28.0,SUMBAR,0.03,100.84,20,1.0,1.0
3.1,11.0,64.0,NTT,-10.15,118.81,7,0.0,2.0
3.1,10.0,50.0,SUMBAR,-0.28,99.58,20,0.0,2.0
2.8,77.0,28.0,SUMBAR,-1.36,100.83,20,1.0,1.0
3.8,146.0,29.0,MALUT,2.3,128.22,5,1.0,1.0
4.7,57.0,1280.0,KALTARA,14.32,121.19,27,3.0,3.0
3.5,10.0,5.0,NTB,-8.44,116.97,8,2.0,0.0
4.0,10.0,135.0,MALUKU,-4.57,133.97,6,0.0,2.0
3.6,27.0,28.0,SULUT,3.82,126.86,15,2.0,0.0
2.3,10.0,5.0,SULTENG,-1.09,121.49,11,2.0,0.0
1.7,10.0,26.0,NTT,-9.66,124.71,7,2.0,0.0
2.4,10.0,3.0,SULTENG,-1.1,121.51,11,2.0,0.0
3.7,12.0,4.0,SULTENG,-1.06,121.55,11,2.0,0.0
3.7,12.0,4.0,SULTENG,-1.06,121.55,11,2.0,0.0
3.5,11.0,70.0,SUMBAR,-1.45,99.28,20,0.0,2.0
3.0,10.0,5.0,SULTENG,-1.06,121.5,11,2.0,0.0
3.8,10.0,7.0,SULTENG,-1.09,121.47,11,2.0,0.0
4.7,10.0,7.0,SULTENG,-1.11,121.47,11,2.0,0.0
2.6,11.0,9.0,SULTENG,-1.07,121.46,11,2.0,0.0
3.3,10.0,4.0,SULTENG,-1.08,121.5,11,2.0,0.0
5.4,10.0,5.0,SULTENG,-1.11,121.49,11,2.0,0.0
3.7,10.0,5.0,SULTENG,-1.08,121.49,11,2.0,0.0
4.6,10.0,4.0,SULTENG,-1.08,121.5,11,2.0,0.0
2.8,34.0,33.0,SULTENG,-1.1,119.79,11,2.0,0.0
3.0,10.0,42.0,SULTENG,1.35,121.33,11,2.0,0.0
4.3,483.0,271.0,SULUT,3.78,123.05,15,1.0,1.0
4.7,10.0,242.0,SULUT,6.03,125.89,15,3.0,3.0
2.3,15.0,75.0,NTB,-7.8,118.53,8,0.0,2.0
2.3,63.0,19.0,BENGKULUSELATAN,-4.49,103.09,18,1.0,1.0
2.7,172.0,23.0,NTT,-8.28,119.9,7,1.0,1.0
3.8,13.0,150.0,SUMBAR,-0.89,98.8,20,3.0,3.0
2.7,10.0,15.0,SULTENG,1.08,121.27,11,2.0,0.0
3.8,18.0,46.0,SULUT,3.74,127.0,15,2.0,0.0
4.2,10.0,52.0,NTT,-8.22,121.18,7,2.0,0.0
3.0,46.0,76.0,MALUT,1.44,126.89,5,0.0,2.0
2.8,11.0,105.0,PAPUA,-2.38,140.58,10,0.0,2.0
3.2,110.0,8.0,NTB,-8.56,118.39,8,1.0,1.0
2.9,80.0,72.0,NTT,-8.89,124.26,7,1.0,1.0
3.5,30.0,72.0,BANTEN,-6.89,104.97,21,0.0,2.0
3.4,10.0,62.0,MALUKU,-2.86,129.98,6,2.0,2.0
3.9,10.0,82.0,PAPUA,-2.75,141.21,10,0.0,2.0
3.6,12.0,8.0,BALI,-8.27,115.53,22,2.0,0.0
4.3,108.0,13.0,NTB,-8.62,118.38,8,1.0,1.0
3.0,131.0,74.0,GORONTALO,-0.11,123.3,12,1.0,1.0
3.2,136.0,68.0,GORONTALO,-0.08,123.13,12,1.0,1.0
4.4,74.0,73.0,SULUT,1.66,125.75,15,0.0,1.0
2.8,108.0,9.0,NTB,-8.54,118.38,8,1.0,1.0
3.3,10.0,23.0,MALUKUTENGAH,-3.35,128.75,3,2.0,0.0
3.1,10.0,15.0,DIY,-7.99,110.47,28,2.0,0.0
3.6,102.0,39.0,JATIM,-8.48,112.29,29,1.0,1.0
3.2,82.0,91.0,GORONTALO,-0.25,122.9,12,0.0,1.0
2.8,10.0,40.0,NTB,-8.29,116.56,8,2.0,0.0
4.1,10.0,182.0,ACEH,5.14,93.86,23,3.0,3.0
3.2,13.0,31.0,SULTENG,-1.17,120.58,11,2.0,0.0
3.0,10.0,60.0,PAPUABRT,-1.5,133.83,1,2.0,0.0
5.1,48.0,87.0,SULUT,4.33,125.81,15,0.0,2.0
2.4,10.0,36.0,SULTENG,-1.57,120.48,11,2.0,0.0
4.1,229.0,174.0,MALUKUTENGAH,-4.8,129.43,3,1.0,1.0
3.7,26.0,116.0,MALUT,1.07,126.36,5,0.0,2.0
3.2,26.0,80.0,JABAR,-8.11,107.9,4,0.0,2.0
4.6,271.0,222.0,MALUKUBRTDAYA,-6.42,128.8,14,1.0,1.0
3.5,15.0,179.0,BANTEN,-8.43,105.61,21,3.0,3.0
3.8,66.0,81.0,NTT,-8.97,124.05,7,0.0,2.0
2.9,29.0,61.0,PAPUA,-2.75,140.35,10,2.0,0.0
3.0,10.0,48.0,NTT,-10.42,123.8,7,2.0,0.0
3.6,10.0,123.0,NTB,-9.82,116.27,8,0.0,2.0
3.5,33.0,114.0,MALUT,1.52,126.54,5,0.0,2.0
2.0,10.0,23.0,SUMBAR,-0.1,100.32,20,2.0,0.0
2.8,25.0,73.0,JABAR,-7.65,106.56,4,0.0,2.0
3.6,10.0,125.0,MALUT,2.95,127.61,5,0.0,2.0
3.5,13.0,108.0,SULUT,0.89,125.93,15,0.0,2.0
3.1,10.0,20.0,PAPUABRT,-1.42,132.18,1,2.0,0.0
5.0,30.0,106.0,SULUT,4.87,126.28,15,0.0,2.0
4.5,12.0,103.0,MALUKUBRTDAYA,-8.45,128.67,14,0.0,2.0
4.0,10.0,135.0,JABAR,-8.2,107.18,4,0.0,2.0
3.4,126.0,62.0,MALUT,1.74,127.18,5,1.0,1.0
3.5,30.0,120.0,SULUT,1.31,126.2,15,0.0,2.0
3.2,103.0,81.0,GORONTALO,-0.13,122.84,12,1.0,1.0
3.1,28.0,74.0,NTB,-7.79,118.88,8,0.0,2.0
4.5,10.0,177.0,MALUT,-0.35,125.93,5,3.0,3.0
2.9,10.0,25.0,JABAR,-6.76,106.55,4,2.0,0.0
2.9,10.0,34.0,NTT,-10.22,124.09,7,2.0,0.0
2.9,10.0,28.0,JABAR,-6.73,106.56,4,2.0,0.0
3.5,10.0,25.0,JABAR,-6.76,106.53,4,2.0,0.0
3.4,15.0,55.0,ACEH,2.97,96.39,23,0.0,2.0
3.0,10.0,99.0,SULTENG,1.03,119.88,11,0.0,2.0
3.7,10.0,90.0,SULTENG,-1.92,122.49,11,0.0,2.0
3.5,22.0,62.0,NTB,-8.07,117.79,8,0.0,2.0
4.3,80.0,96.0,SULUT,4.85,126.5,15,0.0,2.0
3.0,10.0,125.0,MALUT,0.27,126.36,5,0.0,2.0
3.4,10.0,157.0,SULTENG,2.13,122.16,11,0.0,2.0
3.4,10.0,149.0,SULTENG,2.11,122.07,11,0.0,2.0
3.0,44.0,15.0,NTT,-9.28,119.1,7,2.0,0.0
2.9,21.0,107.0,JABAR,-8.02,107.36,4,0.0,2.0
3.5,34.0,64.0,LAMPUNG,-5.66,103.6,16,0.0,2.0
2.4,10.0,8.0,SULBAR,-2.93,119.4,30,2.0,0.0
3.5,23.0,29.0,SUMUT,0.77,97.28,2,2.0,0.0
4.1,10.0,135.0,PAPUABRT,-4.51,133.98,1,0.0,2.0
4.8,45.0,128.0,SULUT,1.24,126.26,15,0.0,2.0
3.3,17.0,127.0,BALI,-9.52,114.34,22,0.0,2.0
4.0,17.0,82.0,BENGKULU,-5.83,101.71,13,0.0,2.0
3.1,29.0,11.0,NTT,-9.97,123.99,7,2.0,0.0
3.2,52.0,27.0,BENGKULU,-2.33,101.14,13,2.0,0.0
1.5,16.0,31.0,NTT,-8.51,121.95,7,2.0,0.0
3.8,10.0,154.0,SULUT,5.37,126.47,15,0.0,2.0
3.7,86.0,32.0,PAPUA,-3.25,140.49,10,1.0,1.0
4.0,37.0,15.0,NTT,-9.55,119.12,7,2.0,0.0
4.4,10.0,28.0,PAPUA,-3.47,140.54,10,2.0,0.0
5.3,10.0,98.0,SULUT,4.81,126.31,15,0.0,2.0
4.4,10.0,25.0,MALUKUTENGAH,-3.4,128.75,3,2.0,0.0
3.3,22.0,9.0,PAPUA,-3.0,139.94,10,2.0,0.0
2.8,10.0,79.0,SUMBAR,0.13,99.11,20,0.0,2.0
2.4,10.0,8.0,SUMBAR,-0.39,100.39,20,2.0,0.0
3.2,17.0,48.0,MALUT,1.19,127.05,5,2.0,0.0
2.9,213.0,13.0,BALI,-8.34,115.28,22,1.0,1.0
3.6,85.0,34.0,BENGKULUUTARA,-3.5,101.89,31,1.0,1.0
3.1,10.0,31.0,ACEHBESAR,5.09,95.85,32,2.0,0.0
3.8,16.0,93.0,SUMUT,0.34,98.62,2,0.0,2.0
3.4,304.0,83.0,SULUT,1.82,124.16,15,1.0,1.0
4.2,10.0,288.0,JABAR,-9.58,106.67,4,3.0,3.0
4.2,10.0,288.0,JABAR,-9.58,106.67,4,3.0,3.0
4.2,10.0,288.0,JABAR,-9.58,106.67,4,3.0,3.0
4.2,10.0,288.0,JABAR,-9.58,106.67,4,3.0,3.0
3.6,10.0,129.0,MALUT,1.81,126.52,5,0.0,2.0
4.3,36.0,28.0,PAPUA,-3.27,140.52,10,2.0,0.0
4.5,10.0,95.0,JATIM,-9.01,111.31,29,0.0,2.0
2.8,10.0,43.0,SULTENG,-1.34,120.37,11,2.0,0.0
3.7,10.0,55.0,PAPUA,-2.66,140.23,10,2.0,0.0
2.9,101.0,8.0,SUMUT,2.05,98.9,2,1.0,1.0
3.6,20.0,79.0,MALUT,0.49,126.71,5,0.0,2.0
3.4,16.0,28.0,NTB,-8.29,118.53,8,2.0,0.0
4.2,20.0,97.0,LAMPUNG,-6.07,103.92,16,0.0,2.0
2.7,11.0,10.0,SUMBAR,-0.22,100.4,20,2.0,0.0
4.5,70.0,135.0,PAPUABRT,-4.51,133.92,1,0.0,2.0
3.7,14.0,136.0,PAPUABRT,-4.52,133.9,1,0.0,2.0
4.0,128.0,11.0,SULUT,2.77,125.46,15,1.0,1.0
