mag,depth,rad,prov_enco,lat,lon
0.023491964006248294,0.06525545557291193,0.48289037123954826,0.006525545557291193,-0.025580138584581476,0.8725306964654054
0.01354495378545528,0.8543740080056407,0.015628792829371477,0.010419195219580984,0.007762300438587833,0.5190843058395246
0.016193871592536286,0.6549521399648008,0.5937752917263305,0.01079591439502419,-0.016553735405703755,0.4667073792968957
0.020126326566745338,0.06289477052107918,0.7295793380445185,0.025157908208431674,-0.05346055494291731,0.6781314157582757
0.02758963398208052,0.060697194760577146,0.7118125567376774,0.02758963398208052,0.010815136520975564,0.6985695324262787
0.023658386029686077,0.14047166705126107,0.28833657973679905,0.044359473805661395,-0.0212186149703747,0.9455961166240154
0.024616189070109942,0.2938061276109896,0.09528847381978041,0.05558494306153858,-0.07368975308729685,0.946293952091936
0.02313046874827095,0.4956529017486632,0.3634787946156864,0.05286964285319075,-0.05928008704914013,0.7844533258342177
0.039058144746542435,0.0976453618663561,0.2929360855990683,0.08788082567972048,0.0424757324118649,0.9453047482281933
0.022859857709349406,0.06796173913590363,0.4942671937156628,0.06178339921445785,-0.01322164743189398,0.864040838014193
0.024455741052860094,0.0764241907901878,0.3744785348719202,0.08406660986920657,-0.012304294717220235,0.9198415603507003
0.020277814605536747,0.0751030170575435,0.4130665938164893,0.08261331876329786,-0.008411537910444874,0.9035643982193059
0.020502948411035348,0.09259396056596608,0.5820191807003582,0.07936625191368521,-0.0013889094084894912,0.8037155777125855
0.03148919686710162,0.09542180868818671,0.1335905321634614,0.12404835129464273,-0.03406558570168266,0.9775010082017846
0.029852252209738833,0.10921555686489817,0.6989795639353483,0.01456207424865309,0.0018930696523249018,0.7059693595747017
0.024231863957170106,0.0781673030876455,0.3283026729681111,0.054717112161351854,-0.07863630690617138,0.9361316217776425
0.025734976810706463,0.07798477821426202,0.3353345463213267,0.054589344749983414,-0.07845268688354759,0.9336337647811449
0.026049567115481675,0.08683189038493892,0.5123081532711397,0.017366378076987782,0.003907435067322252,0.8538179781551044
0.01604073489040282,0.6518681625674336,0.6143260170792568,0.04778091243949775,-0.025187366700249528,0.44101782181656424
0.023958069641219364,0.07486896762881051,0.2545544899379557,0.022460690288643153,-0.02530571105853795,0.963264137512276
0.025388717871869783,0.07693550870263571,0.3462097891618607,0.08462905957289929,0.009386132061721557,0.9307657842844869
0.01519635614881889,0.11578176113385821,0.3401089233307085,0.021709080212598417,-0.020840717004094476,0.9326220859332279
0.018375012038833568,0.07989135669058074,0.28760888408609064,0.0639130853524646,-0.0700647198176393,0.9495087742675521
0.01849796135480002,0.6885352282064451,0.13873471016100014,0.05138322598555561,-0.017316147157132238,0.7094995844085519
0.009852837007034636,0.20478445544032775,0.9466451242052887,0.028978932373631285,0.01607364782324082,0.24643684090536044
0.013541639055779512,0.8207053973199705,0.21748693028979216,0.02051763493299926,0.009971570577437642,0.527672535206875
0.02009248456160008,0.8122493758944713,0.21374983576170298,0.06412495072851089,0.015005238470471548,0.5383503363494251
0.016387822853854192,0.0481994789819241,0.8531307779800565,0.01927979159276964,-0.04217454410918359,0.5171322099970637
0.03174248920983521,0.21677797509155755,0.30968282155936794,0.05419449377288939,-0.07695618115750293,0.9204547663798314
0.01584257440259347,0.7047214130808821,0.2239812243125284,0.06555548028659368,0.0014203687395428631,0.669813119828271
0.026825832235507035,0.07451620065418621,0.3576777631400938,0.05216134045793034,-0.0647545783684878,0.9267579875361138
0.023690273715439577,0.11845136857719789,0.2842832845852749,0.05527730533602568,-0.07912551420956819,0.9461895321946566
0.023726030361192946,0.06083597528511012,0.7665332885923875,0.09733756045617618,-0.038204992479049155,0.6302607039537408
0.025078146006663086,0.08089724518278414,0.10516641873761938,0.13752531681073304,-0.02030520854087882,0.9810408923316233
0.025593830784272534,0.23887575398654365,0.383907461764088,0.1535629847056352,-0.04137669310124059,0.8772712065155815
0.01794618227875439,0.4175938568710156,0.7627127468470616,0.034511888997604594,-0.0142879220450083,0.4921050252168439
0.02083475141325528,0.08579015287810997,0.7598556397775454,0.09804588900355425,-0.03848301143389504,0.6353986394236588
0.023482525621340466,0.06522923783705685,0.48269635999422067,0.0065229237837056845,-0.025700319707800397,0.8726367437841465
0.017590233227865664,0.1552079402458735,0.7398245151719971,0.02586799004097892,0.009260740434670454,0.6538393162757832
0.02001808408987252,0.05719452597106434,0.5891036175019627,0.05719452597106434,-0.013269130025286926,0.803640284419425
0.033142864657514,0.08721806488819475,0.40992490497451534,0.16571432328757002,-0.02189173428693688,0.8918047134817914
0.02170599402048826,0.3979432237089514,0.4775318684507417,0.028941325360651013,-0.05715911758728575,0.7804028383499546
0.024900657131018963,0.08056094954153194,0.5126605879915669,0.058589781484750504,-0.0681838582028784,0.8496983059825941
0.028132693727379633,0.065424869133441,0.5757388483742808,0.09813730370016151,0.010795103407017765,0.808520532751064
0.020093756940515926,0.4742126637961759,0.3858001332579058,0.01607500555241274,0.015432005330316231,0.7908098981509448
0.02890419659304338,0.076063675244851,0.0684573077203659,0.0456382051469106,-0.023199420949679552,0.9930112803215299
0.0228272700675444,0.09511362528143501,0.209249975619157,0.19022725056287001,-0.001046249878095785,0.9541798888233559
0.019151377506566574,0.35110858762038716,0.5043196076729197,0.0766055100262663,-0.0010214068003502172,0.7849511260691419
